,Age,Distance from nearest MRT station,No. of convenience stores,Latitude,Longitude,Price/Area,Year,Range
0,32.0,84.87881999999999,10,24.982979999999998,121.54024,37.9,2012,100.0
1,19.5,306.5947,9,24.980339999999998,121.53951,42.2,2012,400.0
2,13.3,561.9845,5,24.987460000000002,121.54391000000001,47.3,2013,600.0
3,5.0,390.5684,5,24.97937,121.54245,43.1,2012,400.0
4,7.1,2175.03,3,24.96305,121.51253999999999,32.1,2012,2200.0
5,34.5,623.4731,7,24.979329999999997,121.53641999999999,40.3,2012,700.0
6,20.3,287.6025,6,24.980420000000002,121.54228,46.7,2013,300.0
7,31.7,5512.0380000000005,1,24.95095,121.48458000000001,18.8,2013,5600.0
8,17.9,1783.18,3,24.96731,121.51486000000001,22.1,2013,1800.0
9,34.8,405.2134,1,24.973489999999998,121.53372,41.4,2013,500.0
10,6.3,90.45606,9,24.97433,121.5431,58.1,2013,100.0
11,13.0,492.2313,5,24.96515,121.53737,39.3,2012,500.0
12,20.4,2469.645,4,24.96108,121.51046000000001,23.8,2012,2500.0
13,13.2,1164.838,4,24.99156,121.53406000000001,34.3,2013,1200.0
14,35.7,579.2083,2,24.9824,121.54619,50.5,2013,600.0
15,17.7,350.8515,1,24.97544,121.53119,37.4,2012,400.0
16,16.9,368.1363,8,24.9675,121.54451,42.3,2013,400.0
17,1.5,23.382839999999998,7,24.96772,121.54101999999999,47.7,2012,100.0
18,4.5,2275.877,3,24.96314,121.51151000000002,29.3,2013,2300.0
19,10.5,279.1726,7,24.975279999999998,121.54541,51.6,2013,300.0
20,14.7,1360.139,1,24.95204,121.54842,24.6,2012,1400.0
21,10.1,279.1726,7,24.975279999999998,121.54541,47.9,2013,300.0
22,39.6,480.6977,4,24.97353,121.53885,38.8,2013,500.0
23,29.3,1487.868,2,24.97542,121.51726000000001,27.0,2013,1500.0
24,3.1,383.8624,5,24.98085,121.54391000000001,56.2,2012,400.0
25,10.4,276.449,5,24.95593,121.53913,33.6,2013,300.0
26,19.2,557.4780000000001,4,24.97419,121.53797,47.0,2013,600.0
27,7.1,451.2438,5,24.97563,121.54693999999999,57.1,2013,500.0
28,25.9,4519.69,0,24.94826,121.49587,22.1,2013,4600.0
29,29.6,769.4034,7,24.98281,121.53408,25.0,2012,800.0
30,37.9,488.5727,1,24.973489999999998,121.53451000000001,34.2,2012,500.0
31,16.5,323.655,6,24.97841,121.54281,49.3,2013,400.0
32,15.4,205.36700000000002,7,24.984189999999998,121.54243000000001,55.1,2012,300.0
33,13.9,4079.4179999999997,0,25.01459,121.51816000000001,27.3,2013,4100.0
34,14.7,1935.009,2,24.96386,121.51458000000001,22.9,2012,2000.0
35,12.0,1360.139,1,24.95204,121.54842,25.3,2013,1400.0
36,3.1,577.9615,6,24.97201,121.54722,47.7,2012,600.0
37,16.2,289.3248,5,24.982029999999998,121.54348,46.2,2013,300.0
38,13.6,4082.015,0,24.94155,121.50381000000002,15.9,2013,4100.0
39,16.8,4066.587,0,24.942970000000003,121.50341999999999,18.2,2013,4100.0
40,36.1,519.4617,5,24.96305,121.53758,34.7,2013,600.0
41,34.4,512.7871,6,24.987479999999998,121.54301000000001,34.1,2012,600.0
42,2.7,533.4762,4,24.97445,121.54765,53.9,2013,600.0
43,36.6,488.8193,8,24.97015,121.54494,38.3,2013,500.0
44,21.7,463.9623,9,24.9703,121.54458000000001,42.0,2013,500.0
45,35.9,640.7391,3,24.97563,121.53715,61.5,2013,700.0
46,24.2,4605.749,0,24.946839999999998,121.49578000000001,13.4,2013,4700.0
47,29.4,4510.359,1,24.94925,121.49542,13.2,2012,4600.0
48,21.7,512.5487,4,24.974,121.53842,44.2,2013,600.0
49,31.3,1758.406,1,24.95402,121.55282,20.7,2013,1800.0
50,32.1,1438.579,3,24.97419,121.5175,27.0,2013,1500.0
51,13.3,492.2313,5,24.96515,121.53737,38.9,2013,500.0
52,16.1,289.3248,5,24.982029999999998,121.54348,51.7,2013,300.0
53,31.7,1160.632,0,24.949679999999997,121.53008999999999,13.7,2012,1200.0
54,33.6,371.2495,8,24.97254,121.54059,41.9,2013,400.0
55,3.5,56.47425,7,24.95744,121.53711000000001,53.5,2012,100.0
56,30.3,4510.359,1,24.94925,121.49542,22.6,2013,4600.0
57,13.3,336.0532,5,24.95776,121.53438,42.4,2013,400.0
58,11.0,1931.207,2,24.96365,121.51471000000001,21.3,2013,2000.0
59,5.3,259.6607,6,24.97585,121.54516000000001,63.2,2013,300.0
60,17.2,2175.877,3,24.96303,121.51253999999999,27.7,2012,2200.0
61,2.6,533.4762,4,24.97445,121.54765,55.0,2013,600.0
62,17.5,995.7554,0,24.96305,121.54915,25.3,2013,1000.0
63,40.1,123.7429,8,24.97635,121.54328999999998,44.3,2013,200.0
64,1.0,193.5845,6,24.96571,121.54088999999999,50.7,2013,200.0
65,8.5,104.8101,5,24.966739999999998,121.54066999999999,56.8,2013,200.0
66,30.4,464.223,6,24.97964,121.53805,36.2,2013,500.0
67,12.5,561.9845,5,24.987460000000002,121.54391000000001,42.0,2012,600.0
68,6.6,90.45606,9,24.97433,121.5431,59.0,2013,100.0
69,35.5,640.7391,3,24.97563,121.53715,40.8,2013,700.0
70,32.5,424.5442,8,24.97587,121.53913,36.3,2013,500.0
71,13.8,4082.015,0,24.94155,121.50381000000002,20.0,2013,4100.0
72,6.8,379.5575,10,24.98343,121.53761999999999,54.4,2012,400.0
73,12.3,1360.139,1,24.95204,121.54842,29.5,2013,1400.0
74,35.9,616.4004,3,24.97723,121.53766999999999,36.8,2013,700.0
75,20.5,2185.1279999999997,3,24.96322,121.51236999999999,25.6,2012,2200.0
76,38.2,552.4371,2,24.97598,121.53381,29.8,2012,600.0
77,18.0,1414.8370000000002,1,24.95182,121.54887,26.5,2013,1500.0
78,11.8,533.4762,4,24.97445,121.54765,40.3,2013,600.0
79,30.8,377.7956,6,24.964270000000003,121.53963999999999,36.8,2013,400.0
80,13.2,150.9347,7,24.96725,121.54252,48.1,2013,200.0
81,25.3,2707.3920000000003,3,24.96056,121.50831000000001,17.7,2012,2800.0
82,15.1,383.2805,7,24.96735,121.54463999999999,43.7,2013,400.0
83,1.8,1455.7979999999998,1,24.9512,121.54899999999999,27.0,2012,1500.0
84,16.9,4066.587,0,24.942970000000003,121.50341999999999,18.3,2013,4100.0
85,8.9,1406.43,0,24.98573,121.52758,48.0,2012,1500.0
86,23.0,3947.945,0,24.94783,121.50243,25.3,2013,4000.0
87,9.1,1402.016,0,24.985689999999998,121.5276,43.2,2013,1500.0
88,20.6,2469.645,4,24.96108,121.51046000000001,21.8,2012,2500.0
89,31.9,1146.329,0,24.9492,121.53076000000001,16.1,2012,1200.0
90,40.9,167.5989,5,24.9663,121.54026,41.0,2012,200.0
91,8.0,104.8101,5,24.966739999999998,121.54066999999999,51.8,2012,200.0
92,6.4,90.45606,9,24.97433,121.5431,59.5,2013,100.0
93,28.4,617.4424,3,24.97746,121.53298999999998,34.6,2013,700.0
94,16.4,289.3248,5,24.982029999999998,121.54348,51.0,2013,300.0
95,17.5,964.7496,4,24.98872,121.53411000000001,38.2,2013,1000.0
96,12.7,170.1289,1,24.97371,121.52984,32.9,2012,200.0
97,1.1,193.5845,6,24.96571,121.54088999999999,54.4,2013,200.0
98,32.7,392.4459,6,24.96398,121.5425,30.5,2012,400.0
99,17.2,189.5181,8,24.97707,121.54308,47.1,2013,200.0
100,12.2,1360.139,1,24.95204,121.54842,26.6,2013,1400.0
101,31.4,592.5006,2,24.9726,121.53561,34.1,2013,600.0
102,4.0,2147.376,3,24.962989999999998,121.51284,28.4,2013,2200.0
103,8.1,104.8101,5,24.966739999999998,121.54066999999999,51.6,2013,200.0
104,33.3,196.6172,7,24.97701,121.54223999999999,39.4,2013,200.0
105,9.9,2102.427,3,24.96044,121.51462,23.1,2013,2200.0
106,14.8,393.2606,6,24.96172,121.53811999999999,7.6,2013,400.0
107,30.6,143.8383,8,24.98155,121.54142,53.3,2012,200.0
108,20.6,737.9161,2,24.98092,121.54739,46.4,2013,800.0
109,30.9,6396.283,1,24.94375,121.47883,12.2,2013,6400.0
110,13.6,4197.349,0,24.93885,121.50383000000001,13.0,2013,4200.0
111,25.3,1583.7220000000002,3,24.96622,121.51709,30.6,2013,1600.0
112,16.6,289.3248,5,24.982029999999998,121.54348,59.6,2013,300.0
113,13.6,492.2313,5,24.96515,121.53737,48.0,2013,500.0
114,31.5,414.9476,4,24.98199,121.54463999999999,32.5,2013,500.0
115,9.9,279.1726,7,24.975279999999998,121.54541,57.4,2012,300.0
116,38.6,804.6897,4,24.978379999999998,121.53477,62.9,2013,900.0
117,3.8,383.8624,5,24.98085,121.54391000000001,55.0,2013,400.0
118,41.3,124.9912,6,24.966739999999998,121.54038999999999,60.7,2013,200.0
119,38.5,216.8329,7,24.98086,121.54162,41.0,2013,300.0
120,29.6,535.5269999999999,8,24.98092,121.53653,37.5,2013,600.0
121,26.6,482.7581,5,24.97433,121.53863,37.5,2013,500.0
122,18.0,373.3937,8,24.9866,121.54082,39.5,2012,400.0
123,33.4,186.9686,6,24.96604,121.54211000000001,42.2,2012,200.0
124,18.9,1009.235,0,24.96357,121.54951000000001,20.8,2012,1100.0
125,11.4,390.5684,5,24.97937,121.54245,46.8,2012,400.0
126,13.6,319.0708,6,24.96495,121.54276999999999,47.4,2013,400.0
127,10.0,942.4664,0,24.97843,121.52406,43.5,2013,1000.0
128,12.9,492.2313,5,24.96515,121.53737,42.5,2012,500.0
129,5.1,1559.8270000000002,3,24.97213,121.51626999999999,28.9,2013,1600.0
130,19.8,640.6071,5,24.97017,121.54647,37.5,2013,700.0
131,11.9,1360.139,1,24.95204,121.54842,28.4,2013,1400.0
132,2.1,451.2438,5,24.97563,121.54693999999999,45.5,2012,500.0
133,3.2,489.8821,8,24.97017,121.54494,43.2,2012,500.0
134,16.4,3780.59,0,24.93293,121.51203000000001,45.1,2013,3800.0
135,34.9,179.4538,8,24.973489999999998,121.54245,39.7,2012,200.0
136,35.8,170.7311,7,24.96719,121.54269,48.5,2013,200.0
137,4.9,387.7721,9,24.98118,121.53788,44.7,2013,400.0
138,6.5,376.1709,6,24.954179999999997,121.53713,40.9,2013,400.0
139,30.7,1264.73,0,24.948829999999997,121.52954,18.3,2013,1300.0
140,16.1,815.9314,4,24.97886,121.53464,35.6,2013,900.0
141,11.6,390.5684,5,24.97937,121.54245,39.4,2013,400.0
142,15.5,815.9314,4,24.97886,121.53464,37.4,2012,900.0
143,3.5,49.66105,8,24.95836,121.53756000000001,57.8,2012,100.0
144,19.2,616.4004,3,24.97723,121.53766999999999,39.6,2013,700.0
145,16.0,4066.587,0,24.942970000000003,121.50341999999999,11.6,2012,4100.0
146,13.7,1236.5639999999999,1,24.97694,121.55391000000002,30.6,2012,1300.0
147,28.2,330.0854,8,24.974079999999997,121.54011000000001,43.4,2013,400.0
148,27.6,515.1122,5,24.962989999999998,121.5432,37.4,2013,600.0
149,8.4,1962.628,1,24.95468,121.55481,23.5,2013,2000.0
150,24.0,4527.687,0,24.94741,121.49628,14.4,2013,4600.0
151,3.6,383.8624,5,24.98085,121.54391000000001,58.8,2013,400.0
152,41.3,401.8807,4,24.98326,121.5446,35.1,2013,500.0
153,4.3,432.0385,7,24.9805,121.53778,45.2,2013,500.0
154,30.2,472.1745,3,24.97005,121.53758,36.5,2013,500.0
155,13.9,4573.779,0,24.94867,121.49507,19.2,2012,4600.0
156,33.0,181.0766,9,24.97697,121.54262,42.0,2013,200.0
157,13.1,1144.4360000000001,4,24.99176,121.53456000000001,36.7,2013,1200.0
158,14.0,438.8513,1,24.97493,121.5273,42.6,2013,500.0
159,26.9,4449.27,0,24.94898,121.49621,15.5,2012,4500.0
160,11.6,201.8939,8,24.98489,121.54121,55.9,2013,300.0
161,13.5,2147.376,3,24.962989999999998,121.51284,23.6,2013,2200.0
162,17.0,4082.015,0,24.94155,121.50381000000002,18.8,2013,4100.0
163,14.1,2615.465,0,24.95495,121.56173999999999,21.8,2012,2700.0
164,31.4,1447.286,3,24.97285,121.5173,21.5,2012,1500.0
165,20.9,2185.1279999999997,3,24.96322,121.51236999999999,25.7,2013,2200.0
166,8.9,3078.176,0,24.954639999999998,121.56626999999999,22.0,2013,3100.0
167,34.8,190.0392,8,24.97707,121.54312,44.3,2012,200.0
168,16.3,4066.587,0,24.942970000000003,121.50341999999999,20.5,2012,4100.0
169,35.3,616.5735,8,24.97945,121.53641999999999,42.3,2013,700.0
170,13.2,750.0704,2,24.97371,121.54951000000001,37.8,2013,800.0
171,43.8,57.58945,7,24.9675,121.54068999999998,42.7,2013,100.0
172,9.7,421.47900000000004,5,24.98246,121.54477,49.3,2013,500.0
173,15.2,3771.895,0,24.933629999999997,121.51158000000001,29.3,2013,3800.0
174,15.2,461.1016,5,24.95425,121.5399,34.6,2013,500.0
175,22.8,707.9067,2,24.980999999999998,121.54713000000001,36.6,2013,800.0
176,34.4,126.7286,8,24.96881,121.54088999999999,48.2,2013,200.0
177,34.0,157.6052,7,24.966279999999998,121.54196,39.1,2013,200.0
178,18.2,451.6419,8,24.96945,121.5449,31.6,2013,500.0
179,17.4,995.7554,0,24.96305,121.54915,25.5,2013,1000.0
180,13.1,561.9845,5,24.987460000000002,121.54391000000001,45.9,2013,600.0
181,38.3,642.6985,3,24.97559,121.53713,31.5,2012,700.0
182,15.6,289.3248,5,24.982029999999998,121.54348,46.1,2012,300.0
183,12.8,1449.7220000000002,3,24.97289,121.51728,21.4,2013,1500.0
184,22.2,379.5575,10,24.98343,121.53761999999999,44.0,2013,400.0
185,38.5,665.0636,3,24.97503,121.53692,34.2,2013,700.0
186,11.5,1360.139,1,24.95204,121.54842,26.2,2012,1400.0
187,34.8,175.6294,8,24.973470000000002,121.54271000000001,40.9,2012,200.0
188,5.2,390.5684,5,24.97937,121.54245,52.2,2013,400.0
189,17.6,1805.665,2,24.986720000000002,121.52091000000001,31.1,2013,1900.0
190,6.2,90.45606,9,24.97433,121.5431,58.0,2013,100.0
191,18.1,1783.18,3,24.96731,121.51486000000001,20.9,2013,1800.0
192,19.2,383.7129,8,24.971999999999998,121.54477,48.1,2013,400.0
193,37.8,590.9292,1,24.971529999999998,121.53558999999998,39.7,2013,600.0
194,28.0,372.6242,6,24.978379999999998,121.54118999999999,40.8,2012,400.0
195,29.3,529.7771,8,24.98102,121.53655,40.2,2012,600.0
196,37.2,186.5101,9,24.97703,121.54265,78.3,2013,200.0
197,9.0,1402.016,0,24.985689999999998,121.5276,38.5,2013,1500.0
198,30.6,431.1114,10,24.98123,121.53743,48.5,2013,500.0
199,34.5,324.9419,6,24.97814,121.5417,46.0,2013,400.0
200,16.5,4082.015,0,24.94155,121.50381000000002,12.8,2013,4100.0
201,32.4,265.0609,8,24.98059,121.53986,40.2,2012,300.0
202,11.9,3171.329,0,25.00115,121.51776000000001,46.6,2013,3200.0
203,31.0,1156.412,0,24.9489,121.53095,19.0,2013,1200.0
204,16.2,4074.736,0,24.94235,121.50357,14.7,2012,4100.0
205,27.1,4412.765,1,24.95032,121.49587,17.4,2012,4500.0
206,39.7,333.3679,9,24.98016,121.53931999999999,32.4,2013,400.0
207,8.0,2216.612,4,24.96007,121.51361000000001,23.9,2013,2300.0
208,12.9,250.63099999999997,7,24.96606,121.54297,39.3,2012,300.0
209,3.6,373.8389,10,24.983220000000003,121.53765,61.9,2013,400.0
210,13.0,732.8528,0,24.976679999999998,121.52518,39.0,2013,800.0
211,12.8,732.8528,0,24.976679999999998,121.52518,40.6,2013,800.0
212,18.1,837.7233,0,24.96334,121.54767,29.7,2013,900.0
213,11.0,1712.632,2,24.96412,121.5167,28.8,2013,1800.0
214,13.7,250.63099999999997,7,24.96606,121.54297,41.4,2013,300.0
215,2.0,2077.39,3,24.96357,121.51328999999998,33.4,2012,2100.0
216,32.8,204.1705,8,24.98236,121.53923,48.2,2013,300.0
217,4.8,1559.8270000000002,3,24.97213,121.51626999999999,21.7,2013,1600.0
218,7.5,639.6198,5,24.972579999999997,121.54813999999999,40.8,2013,700.0
219,16.4,389.8219,6,24.96412,121.54273,40.6,2013,400.0
220,21.7,1055.067,0,24.96211,121.54928000000001,23.1,2013,1100.0
221,19.0,1009.235,0,24.96357,121.54951000000001,22.3,2013,1100.0
222,18.0,6306.153,1,24.95743,121.47516,15.0,2012,6400.0
223,39.2,424.7132,7,24.97429,121.53917,30.0,2013,500.0
224,31.7,1159.454,0,24.9496,121.53018,13.8,2012,1200.0
225,5.9,90.45606,9,24.97433,121.5431,52.7,2012,100.0
226,30.4,1735.595,2,24.96464,121.51623000000001,25.9,2012,1800.0
227,1.1,329.9747,5,24.98254,121.54395,51.8,2012,400.0
228,31.5,5512.0380000000005,1,24.95095,121.48458000000001,17.4,2013,5600.0
229,14.6,339.2289,1,24.975189999999998,121.53151000000001,26.5,2012,400.0
230,17.3,444.1334,1,24.97501,121.5273,43.9,2013,500.0
231,17.7,837.7233,0,24.96334,121.54767,28.8,2013,900.0
232,17.0,1485.0970000000002,4,24.97073,121.51700000000001,30.7,2013,1500.0
233,16.2,2288.011,3,24.95885,121.51359,24.4,2013,2300.0
234,15.9,289.3248,5,24.982029999999998,121.54348,53.0,2012,300.0
235,3.9,2147.376,3,24.962989999999998,121.51284,31.7,2013,2200.0
236,32.6,493.657,7,24.96968,121.54522,40.6,2013,500.0
237,15.7,815.9314,4,24.97886,121.53464,38.1,2012,900.0
238,17.8,1783.18,3,24.96731,121.51486000000001,23.7,2013,1800.0
239,34.7,482.7581,5,24.97433,121.53863,41.1,2012,500.0
240,17.2,390.5684,5,24.97937,121.54245,40.1,2013,400.0
241,17.6,837.7233,0,24.96334,121.54767,23.0,2013,900.0
243,17.7,451.6419,8,24.96945,121.5449,26.5,2012,500.0
244,13.2,170.1289,1,24.97371,121.52984,29.3,2013,200.0
245,27.5,394.0173,7,24.97305,121.53993999999999,41.0,2013,400.0
246,19.1,461.1016,5,24.95425,121.5399,34.0,2013,500.0
247,21.2,2185.1279999999997,3,24.96322,121.51236999999999,27.7,2013,2200.0
248,2.6,1554.25,3,24.97026,121.51642,31.1,2013,1600.0
249,2.3,184.3302,6,24.96581,121.54086000000001,45.4,2013,200.0
250,4.7,387.7721,9,24.98118,121.53788,44.8,2013,400.0
251,2.0,1455.7979999999998,1,24.9512,121.54899999999999,25.6,2012,1500.0
252,33.5,1978.671,2,24.98674,121.51843999999998,23.5,2013,2000.0
253,15.0,383.2805,7,24.96735,121.54463999999999,34.4,2012,400.0
254,30.1,718.2937,3,24.975089999999998,121.53643999999998,55.3,2013,800.0
255,19.2,461.1016,5,24.95425,121.5399,32.9,2013,500.0
256,16.6,323.6912,6,24.97841,121.5428,51.0,2013,400.0
257,13.9,289.3248,5,24.982029999999998,121.54348,44.5,2013,300.0
258,37.7,490.3446,0,24.972170000000002,121.53471,37.0,2013,500.0
259,3.4,56.47425,7,24.95744,121.53711000000001,54.4,2012,100.0
260,17.5,395.6747,5,24.95674,121.53399999999999,24.5,2013,400.0
261,12.6,383.2805,7,24.96735,121.54463999999999,42.5,2012,400.0
262,26.4,335.5273,6,24.9796,121.5414,38.1,2013,400.0
263,18.2,2179.59,3,24.962989999999998,121.51252,21.8,2013,2200.0
264,12.5,1144.4360000000001,4,24.99176,121.53456000000001,34.1,2012,1200.0
265,34.9,567.0349,4,24.970029999999998,121.5458,28.5,2012,600.0
266,16.7,4082.015,0,24.94155,121.50381000000002,16.7,2013,4100.0
267,33.2,121.7262,10,24.98178,121.54059,46.1,2013,200.0
268,2.5,156.2442,4,24.96696,121.53992,36.9,2013,200.0
269,38.0,461.7848,0,24.97229,121.53445,35.7,2012,500.0
270,16.5,2288.011,3,24.95885,121.51359,23.2,2013,2300.0
271,38.3,439.7105,0,24.971610000000002,121.53423000000001,38.4,2013,500.0
272,20.0,1626.0829999999999,3,24.96622,121.51668000000001,29.4,2013,1700.0
273,14.4,169.9803,1,24.973689999999998,121.52978999999999,50.2,2013,200.0
274,10.3,3079.89,0,24.9546,121.56626999999999,24.7,2012,3100.0
275,30.3,1264.73,0,24.948829999999997,121.52954,19.1,2013,1300.0
276,16.4,1643.499,2,24.95394,121.55174,24.7,2013,1700.0
277,21.3,537.7971,4,24.97425,121.53813999999998,42.2,2013,600.0
278,35.4,318.5292,9,24.97071,121.54068999999998,78.0,2013,400.0
279,8.3,104.8101,5,24.966739999999998,121.54066999999999,42.8,2013,200.0
280,3.7,577.9615,6,24.97201,121.54722,41.6,2013,600.0
281,15.6,1756.411,2,24.9832,121.51812,27.3,2013,1800.0
282,13.3,250.63099999999997,7,24.96606,121.54297,42.0,2013,300.0
283,15.6,752.7669,2,24.97795,121.53451000000001,37.5,2012,800.0
284,7.1,379.5575,10,24.98343,121.53761999999999,49.8,2013,400.0
285,34.6,272.6783,5,24.95562,121.53872,26.9,2013,300.0
286,13.5,4197.349,0,24.93885,121.50383000000001,18.6,2012,4200.0
287,16.9,964.7496,4,24.98872,121.53411000000001,37.7,2012,1000.0
288,12.9,187.4823,1,24.973879999999998,121.52981000000001,33.1,2013,200.0
289,28.6,197.1338,6,24.97631,121.54436000000001,42.5,2013,200.0
290,12.4,1712.632,2,24.96412,121.5167,31.3,2012,1800.0
291,4.1,56.47425,7,24.95744,121.53711000000001,62.1,2013,100.0
292,3.5,757.3377,3,24.975379999999998,121.54971,36.7,2013,800.0
293,15.9,1497.713,3,24.970029999999998,121.51696000000001,23.6,2012,1500.0
294,32.0,1156.777,0,24.94935,121.53046,12.8,2013,1200.0
295,25.6,4519.69,0,24.94826,121.49587,15.6,2013,4600.0
296,39.8,617.7134,2,24.97577,121.53475,39.6,2013,700.0
297,7.8,104.8101,5,24.966739999999998,121.54066999999999,38.4,2012,200.0
298,30.0,1013.341,5,24.99006,121.5346,22.8,2012,1100.0
299,27.3,337.6016,6,24.96431,121.54063000000001,36.5,2013,400.0
300,5.1,1867.233,2,24.984070000000003,121.51748,35.6,2012,1900.0
301,31.3,600.8604,5,24.96871,121.54651000000001,30.9,2012,700.0
302,31.5,258.186,9,24.96867,121.54331,36.3,2012,300.0
303,1.7,329.9747,5,24.98254,121.54395,50.4,2013,400.0
304,33.6,270.8895,0,24.97281,121.53265,42.9,2013,300.0
305,13.0,750.0704,2,24.97371,121.54951000000001,37.0,2013,800.0
306,5.7,90.45606,9,24.97433,121.5431,53.5,2012,100.0
307,33.5,563.2854,8,24.982229999999998,121.53596999999999,46.6,2013,600.0
308,34.6,3085.17,0,24.998,121.5155,41.2,2013,3100.0
309,13.2,1712.632,2,24.96412,121.5167,30.8,2013,1800.0
310,17.4,6488.021,1,24.95719,121.47353000000001,11.2,2013,6500.0
311,4.6,259.6607,6,24.97585,121.54516000000001,53.7,2012,300.0
312,13.2,492.2313,5,24.96515,121.53737,42.3,2013,500.0
313,4.0,2180.245,3,24.96324,121.51241,28.6,2012,2200.0
314,18.4,2674.961,3,24.96143,121.50827,25.7,2012,2700.0
315,4.1,2147.376,3,24.962989999999998,121.51284,31.3,2013,2200.0
316,10.3,211.4473,1,24.97417,121.52998999999998,45.3,2012,300.0
317,5.6,2408.993,0,24.95505,121.55963999999999,24.7,2013,2500.0
318,32.9,87.30221999999999,10,24.983,121.54021999999999,47.1,2012,100.0
319,41.4,281.205,8,24.97345,121.54093,63.3,2013,300.0
320,17.1,967.4,4,24.98872,121.53408,40.0,2013,1000.0
321,32.3,109.9455,10,24.981820000000003,121.54086000000001,48.0,2013,200.0
322,35.3,614.1394,7,24.979129999999998,121.53666000000001,33.1,2013,700.0
323,17.3,2261.4320000000002,4,24.96182,121.51222,29.5,2012,2300.0
324,14.2,1801.5439999999999,1,24.951529999999998,121.55254,24.8,2012,1900.0
325,15.0,1828.319,2,24.96464,121.51531000000001,20.9,2012,1900.0
326,18.2,350.8515,1,24.97544,121.53119,43.1,2013,400.0
327,20.2,2185.1279999999997,3,24.96322,121.51236999999999,22.8,2012,2200.0
328,4.1,312.8963,5,24.95591,121.53956000000001,51.7,2013,400.0
329,33.9,157.6052,7,24.966279999999998,121.54196,41.5,2013,200.0
330,5.4,390.5684,5,24.97937,121.54245,49.5,2013,400.0
331,21.7,1157.988,0,24.96165,121.55011,23.8,2013,1200.0
332,14.7,1717.193,2,24.964470000000002,121.51648999999999,30.5,2013,1800.0
333,3.9,49.66105,8,24.95836,121.53756000000001,56.8,2013,100.0
334,37.3,587.8877,8,24.97077,121.54633999999999,37.4,2013,600.0
335,14.1,289.3248,5,24.982029999999998,121.54348,53.3,2013,300.0
336,8.0,132.5469,9,24.982979999999998,121.53981,47.3,2013,200.0
337,16.3,3529.5640000000003,0,24.93207,121.51597,29.3,2013,3600.0
338,29.1,506.1144,4,24.97845,121.53889,40.3,2012,600.0
339,16.1,4066.587,0,24.942970000000003,121.50341999999999,12.9,2012,4100.0
340,18.3,82.88643,10,24.983,121.54026,46.6,2013,100.0
341,16.2,2103.555,3,24.960420000000003,121.51462,25.6,2013,2200.0
342,10.4,2251.938,4,24.959570000000003,121.51353,27.3,2013,2300.0
343,40.9,122.3619,8,24.96756,121.5423,67.7,2013,200.0
344,32.8,377.8302,9,24.971510000000002,121.5435,38.6,2013,400.0
345,6.2,1939.749,1,24.95155,121.55386999999999,31.3,2013,2000.0
346,42.7,443.80199999999996,6,24.97927,121.53873999999999,35.3,2013,500.0
347,16.9,967.4,4,24.98872,121.53408,40.3,2013,1000.0
348,32.6,4136.271,1,24.95544,121.4963,24.7,2013,4200.0
349,21.2,512.5487,4,24.974,121.53842,42.5,2012,600.0
350,37.1,918.6357,1,24.97198,121.55063,31.9,2012,1000.0
351,13.1,1164.838,4,24.99156,121.53406000000001,32.2,2013,1200.0
352,26.8,482.7581,5,24.97433,121.53863,35.5,2013,500.0
353,7.6,2175.03,3,24.96305,121.51253999999999,27.7,2013,2200.0
354,12.7,187.4823,1,24.973879999999998,121.52981000000001,28.5,2012,200.0
355,30.9,161.942,9,24.98353,121.53966000000001,39.7,2012,200.0
356,23.0,130.9945,6,24.95663,121.53765,37.2,2012,200.0
357,1.9,372.1386,7,24.972929999999998,121.54026,40.5,2013,400.0
358,5.2,2408.993,0,24.95505,121.55963999999999,22.3,2013,2500.0
359,18.5,2175.744,3,24.9633,121.51243000000001,28.1,2013,2200.0
360,13.7,4082.015,0,24.94155,121.50381000000002,15.4,2013,4100.0
361,5.6,90.45606,9,24.97433,121.5431,50.0,2012,100.0
362,18.8,390.9696,7,24.979229999999998,121.53986,40.6,2013,400.0
363,6.5,90.45606,9,24.97433,121.5431,63.9,2013,100.0
